Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,244.800003,259.000000,241.000000,252.649994,235.925995,50154
2017-01-17,254.000000,262.000000,253.000000,255.750000,238.820816,31096
2017-01-18,256.299988,259.899994,247.899994,250.550003,233.965027,31962
2017-01-19,249.500000,252.699997,244.149994,246.649994,230.323166,11366
2017-01-20,245.000000,245.000000,235.050003,240.100006,224.206741,10821
2017-01-23,249.000000,249.000000,238.649994,241.199997,225.233932,8579
2017-01-24,239.300003,253.000000,239.300003,247.800003,231.397049,12438
2017-01-25,254.949997,254.949997,246.500000,253.100006,236.346237,14369
2017-01-27,250.000000,250.949997,244.949997,247.149994,230.790070,13946
2017-01-30,253.000000,253.000000,237.000000,241.750000,225.747528,10349
2017-01-31,242.000000,242.000000,234.000000,235.500000,219.911255,5120
2017-02-01,232.000000,245.000000,228.399994,242.899994,226.821396,11130
2017-02-02,244.000000,249.500000,242.500000,247.949997,231.537125,9583
2017-02-03,247.000000,270.000000,246.800003,268.700012,250.913605,89246
2017-02-06,274.000000,278.000000,263.000000,264.000000,246.524704,53423
2017-02-07,265.000000,265.000000,258.000000,258.399994,241.295380,13446
2017-02-08,261.000000,266.000000,257.100006,259.649994,242.462631,14756
2017-02-09,262.000000,268.850006,257.100006,258.549988,241.435455,11830
2017-02-10,259.250000,268.000000,259.250000,265.500000,247.925415,29142
2017-02-13,265.000000,269.500000,259.950012,263.450012,246.011124,12894
2017-02-14,260.000000,290.250000,259.500000,271.899994,253.901749,242627
2017-02-15,275.000000,278.000000,266.549988,271.100006,253.154709,31308
2017-02-16,271.850006,285.000000,269.000000,283.450012,264.687256,40243
2017-02-17,283.450012,290.000000,282.500000,289.049988,269.916504,68889
2017-02-20,290.000000,300.000000,290.000000,298.350006,278.600922,70187
2017-02-21,295.000000,298.500000,283.000000,285.100006,266.227997,34210
2017-02-22,293.750000,293.750000,283.100006,284.750000,265.901184,15647
2017-02-23,288.000000,302.000000,282.049988,297.000000,277.340271,59825
2017-02-27,294.000000,306.750000,294.000000,298.250000,278.507538,56831
2017-02-28,300.000000,302.899994,292.500000,294.500000,275.005768,11151
2017-03-01,296.000000,299.500000,288.000000,290.799988,271.550720,17146
2017-03-02,293.850006,297.000000,283.000000,285.200012,266.321411,14904
2017-03-03,285.000000,286.850006,280.500000,282.500000,263.800079,7122
2017-03-06,285.000000,286.000000,271.700012,273.600006,255.489273,31414
2017-03-07,271.000000,278.000000,270.000000,274.350006,256.189575,15710
2017-03-08,272.000000,281.950012,271.100006,274.500000,256.329651,14905
2017-03-09,274.000000,276.000000,271.500000,274.350006,256.189575,7548
2017-03-10,275.000000,275.000000,266.200012,269.100006,251.287109,8003
2017-03-14,273.000000,276.000000,258.149994,262.750000,245.357452,29383
2017-03-15,262.000000,273.500000,260.000000,269.750000,251.894089,14244
2017-03-16,271.100006,274.100006,266.100006,266.950012,249.279449,6734
2017-03-17,267.399994,273.750000,266.799988,267.350006,249.652985,10724
2017-03-20,270.000000,270.000000,266.000000,266.200012,248.579102,3315
2017-03-21,266.100006,268.899994,262.299988,265.049988,247.505203,6480
2017-03-22,264.000000,267.000000,261.000000,262.049988,244.703781,11261
2017-03-23,263.049988,271.000000,263.049988,267.850006,250.119873,15353
2017-03-24,266.049988,269.950012,262.049988,264.049988,246.571396,9296
2017-03-27,266.700012,266.700012,257.500000,259.700012,242.509354,16728
2017-03-28,260.100006,264.000000,254.500000,258.399994,241.295380,18213
2017-03-29,260.000000,261.500000,255.100006,256.100006,239.147659,9004
2017-03-30,259.799988,261.899994,259.000000,260.250000,243.022934,7496
2017-03-31,260.000000,275.000000,256.000000,272.299988,254.275284,19530
2017-04-03,274.950012,284.000000,272.500000,278.600006,260.158295,27849
