Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,498.000000,515.000000,498.000000,500.700012,494.803558,920
2017-01-17,510.000000,531.000000,510.000000,510.000000,503.994049,102
2017-01-18,520.000000,561.000000,520.000000,561.000000,554.393433,1400
2017-01-19,580.000000,617.099976,571.099976,605.000000,597.875305,2142
2017-01-20,582.099976,609.950012,571.000000,574.000000,567.240295,1001
2017-01-23,540.000000,559.950012,525.000000,543.849976,537.445374,180360
2017-01-24,555.000000,558.299988,542.500000,550.000000,543.522949,2424
2017-01-25,550.000000,587.000000,550.000000,565.000000,558.346313,5337
2017-01-27,580.000000,589.900024,565.200012,568.099976,561.409790,4117
2017-01-30,579.900024,614.000000,575.000000,586.500000,579.593079,8973
2017-01-31,590.000000,595.000000,570.000000,578.349976,571.539063,3760
2017-02-01,574.000000,582.000000,574.000000,582.000000,575.146057,73
2017-02-02,550.099976,599.000000,550.099976,591.150024,584.188354,1377
2017-02-03,594.950012,599.000000,575.000000,580.150024,573.317932,857
2017-02-06,597.900024,610.000000,580.049988,584.650024,577.764954,1076
2017-02-07,551.099976,587.000000,551.099976,576.599976,569.809631,2425
2017-02-08,580.000000,580.000000,570.049988,571.349976,564.621521,1820
2017-02-09,568.099976,574.000000,557.000000,566.400024,559.729858,575
2017-02-10,553.250000,578.900024,553.250000,560.000000,553.405212,742
2017-02-13,551.400024,554.900024,532.500000,534.000000,527.711365,406
2017-02-14,535.000000,557.950012,526.099976,530.250000,524.005554,800
2017-02-15,508.000000,544.000000,490.100006,506.299988,500.337585,1503
2017-02-16,491.049988,524.000000,491.049988,520.000000,513.876160,651
2017-02-17,502.149994,530.000000,502.149994,529.400024,523.165588,1507
2017-02-20,506.299988,535.000000,481.299988,514.750000,508.688080,1906
2017-02-21,510.049988,524.450012,510.049988,520.000000,513.876160,184
2017-02-22,514.000000,514.000000,495.000000,500.000000,494.111755,822
2017-02-23,514.900024,535.000000,506.450012,517.950012,511.850372,1477
2017-02-27,512.000000,525.000000,490.100006,503.000000,497.076447,2728
2017-02-28,505.049988,509.950012,501.000000,503.500000,497.570526,438
2017-03-01,502.100006,519.950012,502.100006,506.500000,500.535217,19
2017-03-02,505.000000,520.000000,505.000000,505.000000,499.052887,670
2017-03-03,505.000000,542.849976,501.049988,508.350006,502.363464,174
2017-03-06,510.000000,513.900024,502.000000,502.100006,496.187042,468
2017-03-07,520.000000,520.000000,488.000000,495.549988,489.714172,934
2017-03-08,509.899994,510.049988,503.049988,503.049988,497.125854,248
2017-03-09,503.100006,510.500000,501.000000,510.500000,504.488098,2208
2017-03-10,505.149994,508.000000,505.149994,508.000000,502.017548,22
2017-03-14,510.000000,510.000000,500.000000,504.100006,498.163483,345
2017-03-15,505.000000,519.000000,505.000000,510.049988,504.043396,1255
2017-03-16,524.000000,606.000000,521.000000,569.150024,562.447449,16108
2017-03-17,567.000000,574.950012,543.000000,556.750000,550.193481,488
2017-03-20,543.000000,567.500000,543.000000,563.750000,557.110962,333
2017-03-21,577.000000,587.900024,545.099976,550.000000,543.522949,730
2017-03-22,545.099976,585.000000,545.000000,545.400024,538.977173,415
2017-03-23,550.049988,560.049988,541.049988,544.200012,537.791321,587
2017-03-24,525.250000,601.000000,525.250000,589.700012,582.755371,3167
2017-03-27,565.549988,579.000000,551.000000,571.250000,564.522705,1245
2017-03-28,595.000000,595.000000,556.049988,569.900024,563.188660,366
2017-03-29,565.000000,592.500000,563.049988,565.200012,558.544006,1160
2017-03-30,563.049988,599.000000,562.200012,592.200012,585.226074,797
2017-03-31,605.000000,605.000000,576.299988,589.650024,582.706116,1329
2017-04-03,575.250000,575.250000,566.049988,567.299988,560.619202,137
2017-04-05,565.000000,565.000000,541.049988,554.700012,548.167603,2041
2017-04-06,540.049988,558.950012,539.099976,540.000000,533.640686,1934
2017-04-07,547.000000,567.000000,547.000000,548.049988,541.595886,1273
2017-04-10,551.000000,574.950012,535.000000,550.799988,544.313477,660
2017-04-11,555.000000,572.000000,545.000000,559.000000,552.416992,890
2017-04-12,535.049988,559.000000,530.000000,559.000000,552.416992,338
2017-04-13,540.049988,560.000000,540.000000,554.099976,547.574585,246
2017-04-17,543.000000,548.000000,521.849976,527.400024,521.189148,161
2017-04-18,547.450012,549.950012,525.049988,530.200012,523.956177,1317
2017-04-19,525.000000,539.000000,525.000000,538.500000,532.158447,437
2017-04-20,539.000000,569.950012,527.099976,535.250000,528.946655,2056
2017-04-21,535.450012,562.000000,535.450012,559.200012,552.614624,369
2017-04-24,564.900024,564.900024,540.049988,543.900024,537.494812,525
2017-04-25,558.799988,563.000000,544.950012,559.950012,553.355774,2381
2017-04-26,535.049988,569.000000,534.500000,556.200012,549.650024,1530
2017-04-27,556.099976,565.000000,541.049988,565.000000,558.346313,177
2017-04-28,553.099976,568.400024,551.049988,551.500000,545.005249,1097
2017-05-02,551.049988,570.000000,524.500000,562.650024,556.024048,10191
2017-05-03,565.000000,574.950012,560.099976,565.700012,559.038086,4832
2017-05-04,568.000000,584.000000,567.250000,570.150024,563.435730,1111
2017-05-05,567.250000,570.000000,555.000000,557.500000,550.934631,971
2017-05-08,569.000000,620.000000,565.250000,600.900024,593.823547,6941
2017-05-09,630.000000,645.000000,597.000000,607.200012,600.049377,7211
2017-05-10,585.099976,610.500000,572.049988,608.900024,601.729370,559
2017-05-11,676.000000,730.650024,670.000000,730.650024,722.045532,44360
2017-05-12,740.000000,818.000000,740.000000,768.049988,759.005127,29698
2017-05-15,794.000000,855.000000,765.099976,832.900024,823.091431,19262
2017-05-16,859.950012,860.000000,806.000000,816.250000,806.637451,8674
2017-05-17,828.000000,828.000000,791.200012,802.750000,793.296509,2459
2017-05-18,803.000000,858.000000,780.099976,841.549988,831.639526,6467
2017-05-19,855.000000,938.000000,837.150024,903.000000,892.365906,15843
2017-05-22,920.000000,946.000000,900.000000,906.000000,895.330505,3951
2017-05-23,911.000000,911.000000,846.099976,861.700012,851.552185,4126
2017-05-24,850.000000,850.000000,786.000000,823.500000,813.802124,3318
2017-05-25,858.000000,858.000000,815.099976,832.349976,822.547852,998
2017-05-26,835.000000,870.000000,835.000000,866.599976,856.394531,1450
2017-05-29,850.099976,890.000000,850.099976,876.299988,865.980286,1869
2017-05-30,850.000000,898.000000,850.000000,868.049988,857.827393,505
2017-05-31,850.000000,869.099976,850.000000,864.349976,854.171021,480
2017-06-01,840.200012,886.000000,840.200012,860.099976,849.971069,130
2017-06-02,860.000000,899.000000,855.250000,887.799988,877.344849,1927
2017-06-05,873.000000,929.950012,873.000000,891.799988,881.297791,944
2017-06-06,936.299988,936.299988,890.000000,891.250000,880.754272,1327
2017-06-07,890.000000,900.000000,881.000000,888.950012,878.481323,1129
