Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,71.000000,71.000000,70.150002,70.250000,69.901100,9000
2017-01-17,68.375000,68.425003,68.375000,68.425003,68.085167,6000
2017-01-18,68.275002,70.000000,68.275002,70.000000,69.652344,6000
2017-01-19,68.349998,70.125000,68.349998,70.125000,69.776726,12000
2017-01-20,68.449997,68.525002,68.175003,68.175003,67.836411,18000
2017-01-23,68.025002,68.050003,68.025002,68.050003,67.712036,6000
2017-01-24,71.349998,71.349998,68.824997,68.824997,68.483177,6000
2017-01-25,68.849998,70.000000,68.849998,70.000000,69.652344,6000
2017-01-27,70.500000,70.750000,70.500000,70.750000,70.398621,9000
2017-01-30,70.875000,70.900002,70.800003,70.900002,70.547874,9000
2017-01-31,67.275002,69.949997,67.275002,69.949997,69.602592,9000
2017-02-01,70.025002,70.050003,70.000000,70.000000,69.652344,9000
2017-02-02,70.724998,71.000000,70.025002,71.000000,70.647377,18000
2017-02-03,73.199997,74.949997,73.199997,73.400002,73.035461,9000
2017-02-06,75.000000,75.000000,72.500000,72.500000,72.139931,27000
2017-02-07,71.800003,72.449997,71.800003,72.449997,72.090172,6000
2017-02-08,71.775002,72.000000,71.775002,72.000000,71.642410,9000
2017-02-09,71.775002,71.925003,71.775002,71.925003,71.567787,6000
2017-02-10,72.250000,72.525002,72.250000,72.525002,72.164803,12000
2017-02-13,72.275002,72.550003,72.275002,72.400002,72.040428,12000
2017-02-14,72.224998,72.250000,72.224998,72.250000,71.891174,6000
2017-02-15,71.574997,71.625000,71.574997,71.625000,71.269272,9000
2017-02-16,82.500000,82.500000,71.750000,72.224998,71.866295,21000
2017-02-17,72.625000,72.650002,72.625000,72.650002,72.289185,6000
2017-02-20,72.050003,72.125000,72.050003,72.125000,71.766792,6000
2017-02-21,71.675003,71.750000,71.675003,71.750000,71.393654,6000
2017-02-22,72.099998,72.099998,72.000000,72.000000,71.642410,6000
2017-02-23,72.925003,72.925003,72.925003,72.925003,72.562820,3000
2017-02-27,69.150002,71.500000,69.150002,71.250000,70.896133,9000
2017-02-28,72.750000,72.750000,71.550003,71.550003,71.194649,6000
2017-03-01,71.550003,71.550003,71.550003,71.550003,71.194649,0
2017-03-02,69.525002,71.000000,69.525002,69.750000,69.403587,15000
2017-03-03,62.500000,72.750000,62.500000,70.750000,70.398621,15000
2017-03-06,73.250000,73.250000,71.150002,71.300003,70.945892,15000
2017-03-07,74.500000,74.750000,73.425003,74.750000,74.378754,15000
2017-03-08,73.400002,73.400002,73.400002,73.400002,73.035461,3000
2017-03-09,77.000000,77.000000,73.625000,73.625000,73.259338,9000
2017-03-10,77.000000,77.000000,76.150002,77.000000,76.617577,12000
2017-03-14,76.974998,76.974998,73.550003,76.699997,76.319069,42000
2017-03-15,73.550003,76.750000,73.550003,75.500000,75.125031,12000
2017-03-16,73.724998,75.025002,73.724998,75.025002,74.652390,9000
2017-03-17,73.750000,77.449997,73.750000,77.449997,77.065338,9000
2017-03-20,79.000000,79.000000,77.550003,77.550003,77.164848,6000
2017-03-21,77.525002,77.525002,77.525002,77.525002,77.139977,3000
2017-03-22,77.224998,77.275002,77.224998,77.275002,76.891212,6000
2017-03-23,67.500000,75.000000,66.000000,75.000000,74.627510,12000
2017-03-24,79.000000,79.000000,77.275002,77.574997,77.189720,12000
2017-03-27,77.125000,77.275002,77.074997,77.275002,76.891212,15000
2017-03-28,77.250000,77.949997,77.025002,77.949997,77.562859,9000
2017-03-29,77.250000,77.250000,77.050003,77.050003,76.667336,6000
2017-03-30,76.050003,76.750000,76.050003,76.750000,76.368820,6000
2017-03-31,75.000000,76.250000,74.099998,76.250000,75.871307,9000
2017-04-03,76.224998,76.224998,76.199997,76.199997,75.821548,6000
2017-04-05,77.574997,77.599998,77.574997,77.599998,77.214600,6000
2017-04-06,80.000000,81.250000,79.574997,81.250000,80.846474,12000
2017-04-07,79.550003,79.550003,77.199997,77.199997,76.816582,12000
2017-04-10,74.250000,75.900002,73.625000,73.750000,73.383720,15000
2017-04-11,73.574997,75.000000,73.574997,75.000000,74.627510,15000
2017-04-12,76.000000,76.000000,74.275002,74.275002,73.906113,6000
2017-04-13,74.275002,74.275002,74.275002,74.275002,73.906113,0
2017-04-17,73.849998,73.849998,73.525002,73.525002,73.159843,9000
2017-04-18,77.300003,77.775002,75.800003,75.800003,75.423546,15000
2017-04-19,75.949997,75.949997,75.849998,75.849998,75.473289,6000
2017-04-20,77.449997,78.000000,75.875000,77.500000,77.115097,18000
2017-04-21,79.000000,79.000000,76.500000,76.500000,76.120064,15000
2017-04-24,75.300003,76.724998,73.500000,75.349998,74.975777,21000
2017-04-25,76.250000,76.500000,75.500000,75.500000,75.125031,18000
2017-04-26,74.074997,75.900002,74.025002,75.150002,74.776772,18000
2017-04-27,75.050003,76.000000,74.000000,76.000000,75.622543,30000
2017-04-28,76.699997,76.699997,75.300003,75.550003,75.174782,18000
2017-05-02,75.775002,76.750000,75.775002,76.750000,76.368820,12000
2017-05-03,75.199997,76.025002,75.199997,75.525002,75.149910,12000
2017-05-04,75.525002,76.550003,75.050003,75.625000,75.249405,21000
2017-05-05,75.025002,75.550003,75.025002,75.550003,75.174782,7500
2017-05-08,76.025002,76.500000,75.875000,76.500000,76.120064,10500
2017-05-09,76.525002,78.500000,76.449997,76.775002,76.393700,10500
2017-05-10,76.800003,79.199997,75.599998,79.199997,78.806648,21000
2017-05-11,75.925003,78.425003,75.925003,78.425003,78.035507,7500
2017-05-12,78.050003,78.125000,73.625000,76.699997,76.319069,12000
2017-05-15,77.000000,77.175003,77.000000,77.175003,76.791710,4500
2017-05-16,76.900002,77.099998,76.900002,77.000000,76.617577,7500
2017-05-17,75.900002,75.949997,75.900002,75.925003,75.547920,4500
2017-05-18,76.550003,76.550003,75.949997,76.000000,75.622543,9000
2017-05-19,77.000000,77.000000,76.400002,76.400002,76.020561,7500
2017-05-22,76.750000,76.800003,76.750000,76.775002,76.393700,3000
2017-05-23,78.000000,80.000000,78.000000,78.000000,77.612610,16500
2017-05-24,78.500000,79.000000,76.550003,76.550003,76.169815,9000
2017-05-25,78.250000,78.250000,77.125000,78.000000,77.612610,10500
2017-05-26,75.150002,77.500000,75.150002,77.500000,77.115097,6000
2017-05-29,77.275002,78.750000,76.500000,78.750000,78.358887,10500
2017-05-30,77.525002,80.474998,77.525002,77.849998,77.463356,6000
2017-05-31,77.000000,77.550003,77.000000,77.550003,77.164848,6000
2017-06-01,76.900002,77.625000,76.900002,77.599998,77.214600,6000
2017-06-02,77.750000,80.699997,77.750000,79.599998,79.204666,9000
2017-06-05,78.349998,79.949997,72.500000,78.474998,78.085251,22500
2017-06-06,74.599998,77.000000,74.000000,76.724998,76.343941,16500
2017-06-07,76.750000,78.949997,75.625000,76.175003,75.796677,15000
2017-06-08,76.500000,81.000000,75.525002,77.599998,77.214600,18000
2017-06-09,74.099998,77.349998,74.099998,76.300003,75.921059,6000
2017-06-12,75.675003,76.500000,75.650002,76.500000,76.120064,7500
2017-06-13,76.550003,79.500000,76.025002,78.875000,78.483269,15000
2017-06-14,80.000000,80.000000,78.025002,78.199997,77.811615,12000
2017-06-15,63.500000,78.125000,63.500000,77.974998,77.587738,9000
2017-06-16,81.349998,93.500000,81.349998,90.000000,89.553017,22500
2017-06-19,92.500000,95.000000,90.000000,90.000000,89.553017,10500
2017-06-20,92.250000,92.250000,88.050003,88.074997,87.637573,12000
2017-06-21,88.125000,91.474998,88.025002,88.025002,87.587822,12000
2017-06-22,89.000000,90.000000,85.000000,85.525002,85.100243,13500
2017-06-23,87.849998,93.974998,87.500000,93.974998,93.508270,18000
2017-06-27,92.099998,98.500000,92.000000,96.375000,95.896355,12000
2017-06-28,94.974998,94.974998,94.150002,94.250000,93.781906,7500
2017-06-29,96.000000,96.000000,88.199997,92.099998,91.642586,22500
2017-06-30,91.000000,91.000000,89.150002,89.300003,88.856491,21000
2017-07-03,90.400002,94.000000,90.400002,94.000000,93.533150,15000
2017-07-04,90.125000,92.250000,85.000000,90.099998,89.652519,73500
2017-07-05,90.099998,90.150002,90.074997,90.125000,89.677391,7500
2017-07-06,90.500000,94.750000,90.050003,92.300003,91.841599,15000
2017-07-07,93.099998,95.000000,93.099998,93.800003,93.334145,10500
2017-07-10,93.550003,97.000000,93.550003,95.050003,94.577934,19500
2017-07-11,97.000000,100.500000,97.000000,100.000000,99.503349,24000
2017-07-12,103.000000,105.500000,98.525002,102.525002,102.015808,27000
2017-07-13,100.650002,102.500000,100.500000,100.574997,100.075493,15000
2017-07-14,100.074997,102.074997,100.050003,102.050003,101.543175,10500
2017-07-17,106.150002,106.150002,103.275002,103.275002,102.762085,3000
2017-07-18,106.500000,106.500000,85.500000,96.400002,95.921234,13500
2017-07-19,93.500000,109.949997,93.500000,109.949997,109.403931,6000
2017-07-20,97.849998,97.849998,97.800003,97.800003,97.314278,3000
2017-07-21,94.000000,107.500000,94.000000,104.974998,104.453644,9000
2017-07-24,99.550003,101.500000,99.525002,101.000000,100.498383,7500
2017-07-25,99.000000,112.449997,99.000000,100.675003,100.175003,9000
2017-07-26,101.000000,101.000000,101.000000,101.000000,101.000000,1500
2017-07-27,101.125000,101.250000,101.125000,101.250000,101.250000,4500
2017-07-28,100.000000,101.500000,100.000000,101.500000,101.500000,4500
2017-07-31,101.525002,101.750000,101.525002,101.625000,101.625000,9000
2017-08-01,102.125000,102.175003,102.099998,102.175003,102.175003,7500
2017-08-02,100.025002,101.500000,100.025002,100.949997,100.949997,4500
2017-08-03,100.500000,101.500000,100.500000,101.000000,101.000000,4500
2017-08-04,101.500000,101.625000,101.500000,101.625000,101.625000,3000
2017-08-07,102.000000,102.500000,102.000000,102.500000,102.500000,6000
2017-08-08,102.000000,102.750000,102.000000,102.425003,102.425003,4500
2017-08-09,103.000000,103.050003,103.000000,103.050003,103.050003,3000
2017-08-10,102.000000,102.000000,102.000000,102.000000,102.000000,1500
2017-08-11,101.500000,101.500000,101.500000,101.500000,101.500000,1500
2017-08-14,103.000000,103.000000,102.025002,102.025002,102.025002,3000
2017-08-16,102.500000,103.025002,102.250000,102.250000,102.250000,7500
2017-08-17,102.000000,103.050003,102.000000,103.050003,103.050003,4500
